iter	k	algo	totaltime	relerr
5	64	2	1.31346	0.526659
6	64	2	1.52349	0.524699
7	64	2	1.73371	0.523599
8	64	2	1.94298	0.522908
9	64	2	2.14486	0.522473
10	64	2	2.35533	0.522179
11	64	2	2.5602	0.521986
12	64	2	2.7744	0.521869
13	64	2	2.97453	0.521748
14	64	2	3.17399	0.521662
15	64	2	3.36965	0.52156
16	64	2	3.56853	0.521484
17	64	2	3.79688	0.521391
18	64	2	4.00078	0.521262
19	64	2	4.19882	0.521094
20	64	2	4.39922	0.520925
21	64	2	4.59749	0.520755
22	64	2	4.80542	0.520601
23	64	2	5.00447	0.520482
24	64	2	5.20939	0.520371
25	64	2	5.40402	0.520271
26	64	2	5.60555	0.520182
27	64	2	5.80782	0.520102
28	64	2	6.01338	0.520044
29	64	2	6.21508	0.519993
0	64	4	0.342608	0.524494
1	64	4	0.586557	0.521933
2	64	4	0.814756	0.521008
3	64	4	1.04047	0.520267
4	64	4	1.26736	0.519539
5	64	4	1.4887	0.518972
6	64	4	1.70998	0.518489
7	64	4	1.93038	0.518033
8	64	4	2.14525	0.517685
9	64	4	2.35699	0.517445
10	64	4	2.61376	0.51727
11	64	4	2.82618	0.517135
12	64	4	3.04567	0.517023
13	64	4	3.26409	0.516925
14	64	4	3.47916	0.516839
15	64	4	3.6886	0.516762
16	64	4	3.90167	0.516691
17	64	4	4.12255	0.516627
18	64	4	4.33385	0.516571
19	64	4	4.54707	0.516522
20	64	4	4.75395	0.516479
21	64	4	4.981	0.516441
22	64	4	5.18716	0.516407
23	64	4	5.3946	0.516376
24	64	4	5.61471	0.516348
25	64	4	5.83289	0.516322
26	64	4	6.03953	0.516298
27	64	4	6.25275	0.516277
28	64	4	6.46816	0.516258
29	64	4	6.68022	0.516241
0	64	5	0.490043	0.523587
1	64	5	0.885005	0.521068
2	64	5	1.23055	0.520027
3	64	5	1.57	0.519172
4	64	5	1.96676	0.518423
5	64	5	2.30723	0.517671
6	64	5	2.68484	0.516993
7	64	5	3.17295	0.516578
8	64	5	3.64589	0.516299
9	64	5	4.21257	0.516091
10	64	5	4.67574	0.515924
11	64	5	5.14407	0.515786
12	64	5	5.66891	0.515666
13	64	5	6.13393	0.51556
14	64	5	6.66991	0.515464
15	64	5	7.19266	0.515377
16	64	5	7.66207	0.515299
17	64	5	8.15112	0.515228
18	64	5	8.63467	0.515162
19	64	5	9.11266	0.515157
20	64	5	9.60943	0.515028
21	64	5	10.1561	0.514985
22	64	5	10.6041	0.514999
23	64	5	11.1947	0.514893
24	64	5	11.6683	0.514865
25	64	5	12.1408	0.514888
26	64	5	12.653	0.514794
27	64	5	13.1055	0.514823
28	64	5	13.6709	0.514735
29	64	5	14.2346	0.514714
0	64	6	0.25568	0.527077
1	64	6	0.465669	0.522789
2	64	6	0.687301	0.519949
3	64	6	0.898652	0.517497
4	64	6	1.10936	0.51593
5	64	6	1.32814	0.515208
6	64	6	1.55835	0.514852
7	64	6	1.7683	0.51426
8	64	6	1.97177	0.514011
9	64	6	2.17584	0.513886
10	64	6	2.37449	0.513777
11	64	6	2.57136	0.513574
12	64	6	2.7673	0.513322
13	64	6	2.96294	0.513106
14	64	6	3.15717	0.512996
15	64	6	3.35966	0.512839
16	64	6	3.56169	0.51273
17	64	6	3.76195	0.512656
18	64	6	4.01075	0.512593
19	64	6	4.21231	0.512534
20	64	6	4.40703	0.51249
21	64	6	4.59999	0.512463
22	64	6	4.79599	0.512446
23	64	6	4.98981	0.51244
24	64	6	5.18469	0.512445
25	64	6	5.38236	0.512473
26	64	6	5.57602	0.512567
27	64	6	5.77382	0.512664
28	64	6	5.97611	0.512635
29	64	6	6.17128	0.512516
0	96	0	0.27185	0.535158
1	96	0	0.489778	0.534796
2	96	0	0.703528	0.534463
3	96	0	0.91858	0.534154
4	96	0	1.12869	0.533868
5	96	0	1.33859	0.533601
6	96	0	1.54588	0.533352
7	96	0	1.75556	0.533118
8	96	0	1.97006	0.532897
9	96	0	2.18424	0.532689
10	96	0	2.39452	0.532493
11	96	0	2.59891	0.532306
12	96	0	2.80672	0.532128
13	96	0	3.00852	0.531959
14	96	0	3.23003	0.531797
15	96	0	3.44068	0.531642
16	96	0	3.64288	0.531493
17	96	0	3.8474	0.53135
18	96	0	4.06101	0.531212
19	96	0	4.27415	0.531079
20	96	0	4.4903	0.53095
21	96	0	4.69973	0.530825
22	96	0	4.90623	0.530704
23	96	0	5.11018	0.530587
24	96	0	5.3184	0.530472
25	96	0	5.5277	0.53036
26	96	0	5.73497	0.530251
27	96	0	5.94077	0.530145
28	96	0	6.14349	0.530041
29	96	0	6.35635	0.529939
0	96	1	0.279599	0.529134
1	96	1	0.517666	0.52831
2	96	1	0.753883	0.528045
3	96	1	0.986909	0.527873
4	96	1	1.2237	0.527743
5	96	1	1.4481	0.527656
6	96	1	1.67112	0.527583
7	96	1	1.89528	0.527521
8	96	1	2.1589	0.527457
9	96	1	2.38266	0.527403
10	96	1	2.60945	0.527369
11	96	1	2.84396	0.527344
12	96	1	3.06273	0.527328
13	96	1	3.28846	0.527314
14	96	1	3.52705	0.527302
15	96	1	3.74375	0.527289
16	96	1	3.9596	0.527278
17	96	1	4.18868	0.527268
18	96	1	4.40441	0.527258
19	96	1	4.63998	0.527249
20	96	1	4.86136	0.52724
21	96	1	5.0857	0.527231
22	96	1	5.32717	0.527223
23	96	1	5.55067	0.527218
24	96	1	5.78037	0.527213
25	96	1	6.01574	0.527208
26	96	1	6.23432	0.527202
27	96	1	6.46635	0.527197
28	96	1	6.68854	0.527192
29	96	1	6.98148	0.527188
0	96	2	0.269676	0.552499
1	96	2	0.491734	0.54972
2	96	2	0.710551	0.541038
3	96	2	0.928249	0.534636
4	96	2	1.1384	0.531451
5	96	2	1.34246	0.529276
6	96	2	1.55483	0.527737
7	96	2	1.79279	0.526298
8	96	2	2.00741	0.525183
9	96	2	2.22704	0.524394
10	96	2	2.43954	0.523896
11	96	2	2.66106	0.523538
12	96	2	2.87012	0.523222
13	96	2	3.08414	0.52293
14	96	2	3.30098	0.522577
15	96	2	3.51881	0.522277
16	96	2	3.73797	0.521976
17	96	2	3.95271	0.521717
18	96	2	4.16976	0.521483
19	96	2	4.38019	0.521238
20	96	2	4.5951	0.521047
21	96	2	4.80852	0.520908
22	96	2	5.02069	0.520816
23	96	2	5.23207	0.520749
24	96	2	5.44386	0.520662
25	96	2	5.65514	0.520601
26	96	2	5.8635	0.520578
27	96	2	6.07371	0.520614
28	96	2	6.28046	0.52068
29	96	2	6.48489	0.520733
0	96	4	0.3112	0.523008
1	96	4	0.564298	0.519766
2	96	4	0.794614	0.51796
3	96	4	1.0405	0.516391
4	96	4	1.27264	0.515182
5	96	4	1.53309	0.514426
6	96	4	1.75676	0.513922
7	96	4	2.00748	0.513543
8	96	4	2.23992	0.513251
9	96	4	2.47159	0.513008
10	96	4	2.70583	0.512806
11	96	4	2.94759	0.512636
12	96	4	3.16871	0.512493
13	96	4	3.40088	0.51237
14	96	4	3.62459	0.512262
15	96	4	3.85804	0.512168
16	96	4	4.08742	0.512084
17	96	4	4.35206	0.512008
18	96	4	4.58245	0.511937
19	96	4	4.81499	0.511869
20	96	4	5.07132	0.511807
21	96	4	5.30113	0.511749
22	96	4	5.52929	0.511695
23	96	4	5.76519	0.511645
24	96	4	5.99354	0.5116
25	96	4	6.22311	0.511559
26	96	4	6.45988	0.511521
27	96	4	6.70631	0.511486
28	96	4	6.92958	0.511453
29	96	4	7.15514	0.511421
0	96	5	0.65963	0.522431
1	96	5	1.11859	0.518744
2	96	5	1.56984	0.516545
3	96	5	1.96243	0.514855
4	96	5	2.44425	0.513778
5	96	5	2.8851	0.513041
6	96	5	3.2841	0.512514
7	96	5	3.83912	0.51213
8	96	5	4.36967	0.511846
9	96	5	4.91896	0.511627
10	96	5	5.50518	0.511444
11	96	5	6.05705	0.511283
12	96	5	6.58744	0.511136
13	96	5	7.15993	0.511002
14	96	5	7.74007	0.51088
15	96	5	8.28307	0.510769
16	96	5	8.83941	0.510668
17	96	5	9.44229	0.510575
18	96	5	10.0369	0.51049
19	96	5	10.6033	0.510412
20	96	5	11.1361	0.51034
21	96	5	11.7521	0.510275
22	96	5	12.335	0.510217
23	96	5	12.9078	0.510164
24	96	5	13.4389	0.510115
25	96	5	14.0801	0.51007
26	96	5	14.6497	0.510028
27	96	5	15.2354	0.509991
28	96	5	15.7676	0.509957
29	96	5	16.3826	0.509926
0	96	6	0.266188	0.525779
1	96	6	0.481119	0.519865
