runs	algo	iter	totaltime	err	relerr
3	MU	28	33.46	964.003	0.999274
3	MU	29	34.51	964.003	0.999274
3	HALS	1	2.31	964.703	1
3	HALS	2	3.46	964.648	0.999943
3	HALS	3	4.6	964.433	0.99972
3	HALS	4	5.75	964.111	0.999386
3	HALS	5	6.91	964.006	0.999278
3	HALS	6	8.06	963.969	0.99924
3	HALS	7	9.22	963.956	0.999226
3	HALS	8	10.36	963.953	0.999222
3	HALS	9	11.5	963.951	0.99922
3	HALS	10	12.65	963.949	0.999219
3	HALS	11	13.79	963.948	0.999218
3	HALS	12	14.94	963.947	0.999217
3	HALS	13	16.09	963.946	0.999216
3	HALS	14	17.24	963.946	0.999215
3	HALS	15	18.37	963.945	0.999214
3	HALS	16	19.52	963.944	0.999213
3	HALS	17	20.67	963.943	0.999212
3	HALS	18	21.81	963.942	0.999211
3	HALS	19	22.95	963.941	0.99921
3	HALS	20	24.1	963.94	0.999209
3	HALS	21	25.24	963.938	0.999207
3	HALS	22	26.39	963.937	0.999206
3	HALS	23	27.54	963.936	0.999205
3	HALS	24	28.67	963.936	0.999205
3	HALS	25	29.82	963.936	0.999204
3	HALS	26	30.97	963.935	0.999204
3	HALS	27	32.11	963.935	0.999203
3	HALS	28	33.25	963.934	0.999203
3	HALS	29	34.4	963.933	0.999202
3	BPP	1	3.3	964.193	0.999471
3	BPP	2	4.94	963.977	0.999248
3	BPP	3	6.57	963.956	0.999226
3	BPP	4	8.21	963.949	0.999219
3	BPP	5	9.85	963.943	0.999212
3	BPP	6	11.5	963.937	0.999206
3	BPP	7	13.18	963.935	0.999203
3	BPP	8	14.81	963.933	0.999202
3	BPP	9	16.5	963.932	0.999201
3	BPP	10	18.15	963.931	0.9992
3	BPP	11	19.77	963.931	0.999199
3	BPP	12	21.41	963.93	0.999199
3	BPP	13	23.06	963.93	0.999198
3	BPP	14	24.7	963.929	0.999198
3	BPP	15	26.42	963.929	0.999197
3	BPP	16	28.06	963.928	0.999197
3	BPP	17	29.7	963.927	0.999196
3	BPP	18	31.34	963.927	0.999196
3	BPP	19	32.98	963.927	0.999195
3	BPP	20	34.61	963.926	0.999195
3	BPP	21	36.32	963.926	0.999195
3	BPP	22	37.97	963.926	0.999194
3	BPP	23	39.61	963.926	0.999194
3	BPP	24	41.25	963.925	0.999194
3	BPP	25	42.88	963.925	0.999194
3	BPP	26	44.53	963.925	0.999194
3	BPP	27	46.17	963.925	0.999193
3	BPP	28	47.8	963.925	0.999193
3	BPP	29	49.44	963.924	0.999193
4	MU	1	2.08	964.703	1
4	MU	2	3.13	964.599	0.999892
4	MU	3	4.27	964.441	0.999729
4	MU	4	5.55	964.318	0.9996
4	MU	5	7.04	964.233	0.999512
4	MU	6	8.66	964.169	0.999447
4	MU	7	10.2	964.121	0.999396
4	MU	8	11.58	964.081	0.999356
4	MU	9	12.83	964.054	0.999328
4	MU	10	14	964.035	0.999307
4	MU	11	15.13	964.022	0.999294
4	MU	12	16.25	964.014	0.999286
4	MU	13	17.36	964.008	0.999279
4	MU	14	18.45	964.003	0.999274
4	MU	15	19.55	963.999	0.99927
4	MU	16	20.63	963.996	0.999267
4	MU	17	21.7	963.993	0.999264
4	MU	18	22.78	963.991	0.999261
4	MU	19	23.85	963.989	0.99926
4	MU	20	24.92	963.987	0.999258
4	MU	21	25.98	963.986	0.999257
4	MU	22	27.04	963.985	0.999255
4	MU	23	28.1	963.984	0.999254
4	MU	24	29.16	963.983	0.999254
4	MU	25	30.21	963.983	0.999253
4	MU	26	31.27	963.982	0.999253
4	MU	27	32.32	963.982	0.999253
4	MU	28	33.38	963.982	0.999252
4	MU	29	34.43	963.981	0.999252
4	HALS	1	2.34	964.703	1
4	HALS	2	3.48	964.648	0.999943
4	HALS	3	4.62	964.426	0.999712
4	HALS	4	5.77	964.129	0.999405
4	HALS	5	6.92	964.055	0.999328
4	HALS	6	8.06	964.027	0.9993
4	HALS	7	9.21	964.007	0.999279
4	HALS	8	10.36	963.987	0.999258
4	HALS	9	11.5	963.975	0.999246
4	HALS	10	12.65	963.965	0.999235
4	HALS	11	13.8	963.962	0.999232
4	HALS	12	14.95	963.96	0.99923
4	HALS	13	16.09	963.958	0.999228
4	HALS	14	17.23	963.957	0.999226
4	HALS	15	18.36	963.955	0.999225
4	HALS	16	19.51	963.954	0.999224
4	HALS	17	20.65	963.953	0.999222
4	HALS	18	21.79	963.951	0.999221
4	HALS	19	22.92	963.949	0.999219
4	HALS	20	24.06	963.947	0.999217
4	HALS	21	25.2	963.945	0.999215
4	HALS	22	26.35	963.945	0.999214
4	HALS	23	27.49	963.944	0.999213
4	HALS	24	28.63	963.944	0.999213
4	HALS	25	29.77	963.943	0.999213
4	HALS	26	30.92	963.943	0.999212
4	HALS	27	32.06	963.942	0.999212
4	HALS	28	33.21	963.942	0.999211
4	HALS	29	34.35	963.941	0.99921
4	BPP	1	3.29	964.661	0.999956
4	BPP	2	4.93	963.993	0.999264
4	BPP	3	6.57	963.949	0.999218
4	BPP	4	8.2	963.942	0.999211
4	BPP	5	9.84	963.938	0.999207
4	BPP	6	11.48	963.935	0.999204
4	BPP	7	13.13	963.932	0.999201
4	BPP	8	14.77	963.931	0.9992
4	BPP	9	16.4	963.93	0.999199
4	BPP	10	18.04	963.93	0.999198
4	BPP	11	19.68	963.929	0.999198
4	BPP	12	21.32	963.929	0.999198
4	BPP	13	22.96	963.929	0.999198
4	BPP	14	24.6	963.929	0.999197
4	BPP	15	26.23	963.929	0.999197
4	BPP	16	27.88	963.929	0.999197
4	BPP	17	29.52	963.929	0.999197
4	BPP	18	31.19	963.928	0.999197
4	BPP	19	32.84	963.928	0.999197
4	BPP	20	34.48	963.928	0.999197
4	BPP	21	36.16	963.928	0.999196
4	BPP	22	37.8	963.927	0.999196
4	BPP	23	39.44	963.926	0.999194
4	BPP	24	41.08	963.925	0.999194
4	BPP	25	42.72	963.925	0.999193
4	BPP	26	44.36	963.924	0.999193
4	BPP	27	46.01	963.924	0.999193
4	BPP	28	47.66	963.924	0.999193
4	BPP	29	49.3	963.924	0.999192
5	MU	1	2.09	964.703	1
5	MU	2	3.13	964.607	0.999901
5	MU	3	4.27	964.452	0.99974
5	MU	4	5.55	964.29	0.999572
5	MU	5	7.04	964.207	0.999486
5	MU	6	8.66	964.161	0.999438
5	MU	7	10.2	964.12	0.999396
5	MU	8	11.57	964.092	0.999366
5	MU	9	12.83	964.071	0.999344
5	MU	10	14	964.052	0.999326
5	MU	11	15.13	964.037	0.99931
5	MU	12	16.24	964.025	0.999297
5	MU	13	17.36	964.016	0.999287
5	MU	14	18.45	964.009	0.999281
5	MU	15	19.54	964.005	0.999276
5	MU	16	20.63	964.002	0.999273
5	MU	17	21.71	964	0.999271
5	MU	18	22.79	963.998	0.99927
5	MU	19	23.88	963.998	0.999269
5	MU	20	24.94	963.997	0.999268
5	MU	21	26.01	963.996	0.999268
5	MU	22	27.06	963.996	0.999267
5	MU	23	28.13	963.995	0.999267
5	MU	24	29.18	963.995	0.999266
5	MU	25	30.24	963.994	0.999265
5	MU	26	31.29	963.993	0.999264
5	MU	27	32.35	963.992	0.999263
5	MU	28	33.41	963.991	0.999262
5	MU	29	34.47	963.99	0.999261
5	HALS	1	2.32	964.703	1
5	HALS	2	3.46	964.648	0.999943
5	HALS	3	4.61	964.432	0.999719
5	HALS	4	5.75	964.122	0.999398
5	HALS	5	6.9	964.042	0.999315
5	HALS	6	8.05	964.019	0.999291
5	HALS	7	9.19	963.999	0.999271
5	HALS	8	10.34	963.985	0.999255
5	HALS	9	11.49	963.97	0.99924
5	HALS	10	12.64	963.957	0.999227
5	HALS	11	13.79	963.946	0.999215
5	HALS	12	14.94	963.941	0.99921
5	HALS	13	16.08	963.939	0.999208
5	HALS	14	17.23	963.939	0.999208
5	HALS	15	18.38	963.938	0.999207
5	HALS	16	19.52	963.937	0.999206
5	HALS	17	20.66	963.936	0.999205
5	HALS	18	21.82	963.936	0.999205
