iter	k	algo	totaltime	relerr
13	32	5	7.75912	0.104006
14	32	5	8.34628	0.103963
15	32	5	8.95877	0.103926
16	32	5	9.5348	0.103893
17	32	5	10.1197	0.103863
18	32	5	10.7733	0.103836
19	32	5	11.4696	0.103812
20	32	5	12.0419	0.10379
21	32	5	12.6028	0.10377
22	32	5	13.2145	0.103751
23	32	5	13.8614	0.103734
24	32	5	14.4396	0.103719
25	32	5	15.0201	0.103704
26	32	5	15.6326	0.103691
27	32	5	16.2859	0.103678
28	32	5	16.8646	0.103667
29	32	5	17.4426	0.103656
0	32	6	0.337805	0.320448
1	32	6	0.607062	0.292682
2	32	6	0.874651	0.286964
3	32	6	1.13937	0.285324
4	32	6	1.40278	0.282361
5	32	6	1.67875	0.280988
6	32	6	1.94811	0.281724
7	32	6	2.21283	0.281461
8	32	6	2.47895	0.279277
9	32	6	2.74314	0.278524
10	32	6	3.0116	0.278558
11	32	6	3.2762	0.278214
12	32	6	3.53802	0.277816
13	32	6	3.80286	0.27749
14	32	6	4.07752	0.277297
15	32	6	4.34285	0.277266
16	32	6	4.61037	0.277255
17	32	6	4.8768	0.27725
18	32	6	5.14063	0.277247
19	32	6	5.41389	0.277246
20	32	6	5.68038	0.277244
21	32	6	5.94428	0.277244
22	32	6	6.21223	0.277243
23	32	6	6.48278	0.277242
24	32	6	6.74762	0.277242
25	32	6	7.01143	0.277242
26	32	6	7.27747	0.277242
27	32	6	7.54143	0.277241
28	32	6	7.8089	0.277241
29	32	6	8.07308	0.277241
0	48	0	0.348965	0.23902
1	48	0	0.627221	0.234782
2	48	0	0.901107	0.231991
3	48	0	1.17279	0.229556
4	48	0	1.44321	0.227409
5	48	0	1.7147	0.225499
6	48	0	1.98541	0.223785
7	48	0	2.25521	0.222234
8	48	0	2.52407	0.22082
9	48	0	2.79205	0.219519
10	48	0	3.06156	0.218314
11	48	0	3.33424	0.217187
12	48	0	3.60216	0.216125
13	48	0	3.87088	0.215114
14	48	0	4.14338	0.214142
15	48	0	4.41284	0.213196
16	48	0	4.68257	0.212266
17	48	0	4.95534	0.21134
18	48	0	5.22474	0.210405
19	48	0	5.49039	0.20945
20	48	0	5.76029	0.20846
21	48	0	6.03011	0.207422
22	48	0	6.29688	0.206323
23	48	0	6.56432	0.205146
24	48	0	6.83615	0.203876
25	48	0	7.10724	0.202501
26	48	0	7.37367	0.201005
27	48	0	7.64231	0.199379
28	48	0	7.90837	0.197614
29	48	0	8.18188	0.195709
0	48	1	0.35201	0.337814
1	48	1	0.667539	0.330777
2	48	1	0.94712	0.328135
3	48	1	1.23632	0.325957
4	48	1	1.51254	0.325605
5	48	1	1.78948	0.325544
6	48	1	2.07595	0.32606
7	48	1	2.34985	0.326569
8	48	1	2.62352	0.326087
9	48	1	2.89601	0.325695
10	48	1	3.1694	0.325313
11	48	1	3.44463	0.32524
12	48	1	3.73451	0.325065
13	48	1	4.01606	0.324966
14	48	1	4.29635	0.324894
15	48	1	4.57214	0.324865
16	48	1	4.8473	0.324866
17	48	1	5.11983	0.324886
18	48	1	5.41634	0.324874
19	48	1	5.69324	0.324907
20	48	1	5.97366	0.32491
21	48	1	6.25352	0.324882
22	48	1	6.53228	0.324852
23	48	1	6.82405	0.324837
24	48	1	7.09824	0.324844
25	48	1	7.36883	0.324871
26	48	1	7.64286	0.324887
27	48	1	7.93247	0.324855
28	48	1	8.20522	0.324866
29	48	1	8.49487	0.324886
0	48	2	0.358549	0.173394
1	48	2	0.638542	0.124455
2	48	2	0.917378	0.110706
3	48	2	1.19882	0.106888
4	48	2	1.47624	0.104211
5	48	2	1.75499	0.10231
6	48	2	2.02724	0.101043
7	48	2	2.29938	0.100218
8	48	2	2.57059	0.0995728
9	48	2	2.84159	0.0990032
10	48	2	3.11365	0.0984887
11	48	2	3.39252	0.0980281
12	48	2	3.66848	0.0976377
13	48	2	3.94006	0.0973208
14	48	2	4.21695	0.097061
15	48	2	4.48399	0.0968456
16	48	2	4.7547	0.0966684
17	48	2	5.02347	0.0965279
18	48	2	5.29576	0.0964095
19	48	2	5.56309	0.0963042
20	48	2	5.83368	0.0962135
21	48	2	6.10835	0.0961383
22	48	2	6.39056	0.0960721
23	48	2	6.66897	0.0960102
24	48	2	6.94312	0.0959532
25	48	2	7.21901	0.0958976
26	48	2	7.49177	0.0958414
27	48	2	7.76486	0.0957852
28	48	2	8.03631	0.0957281
29	48	2	8.3071	0.0956673
0	48	4	0.368051	0.173711
1	48	4	0.679469	0.107636
2	48	4	0.973041	0.0986207
3	48	4	1.25834	0.0958185
4	48	4	1.54731	0.0947409
5	48	4	1.84199	0.0941854
6	48	4	2.12712	0.093854
7	48	4	2.44594	0.093633
8	48	4	2.73002	0.0934749
9	48	4	3.01843	0.0933559
10	48	4	3.29864	0.0932653
11	48	4	3.58271	0.0931927
12	48	4	3.8635	0.0931326
13	48	4	4.17984	0.0930817
14	48	4	4.46437	0.0930382
15	48	4	4.77842	0.0930008
16	48	4	5.06492	0.0929684
17	48	4	5.34522	0.0929401
18	48	4	5.63323	0.0929152
19	48	4	5.91507	0.0928934
20	48	4	6.19551	0.092874
21	48	4	6.50055	0.0928563
22	48	4	6.78316	0.0928402
23	48	4	7.06191	0.0928254
24	48	4	7.3487	0.0928117
25	48	4	7.6305	0.092799
26	48	4	7.934	0.0927872
27	48	4	8.21976	0.0927761
28	48	4	8.50297	0.0927657
29	48	4	8.78264	0.0927557
0	48	5	0.628364	0.166359
1	48	5	1.31924	0.104016
2	48	5	1.91334	0.0950731
3	48	5	2.47938	0.092568
