iter k algo time relerr
17 32 5 6.72802 0.113396
18 32 5 7.16109 0.113406
19 32 5 7.59519 0.113416
20 32 5 8.02502 0.113425
21 32 5 8.45141 0.113433
22 32 5 8.89434 0.11344
23 32 5 9.32598 0.113447
24 32 5 9.76111 0.113454
25 32 5 10.1958 0.113459
26 32 5 10.6244 0.113464
27 32 5 11.0585 0.113469
28 32 5 11.4878 0.113473
29 32 5 11.9135 0.113477
0 32 6 0.338838 0.320448
1 32 6 0.604316 0.292682
2 32 6 0.873273 0.286964
3 32 6 1.13973 0.285324
4 32 6 1.41026 0.282361
5 32 6 1.67623 0.280988
6 32 6 1.94108 0.281724
7 32 6 2.20537 0.281461
8 32 6 2.4715 0.279277
9 32 6 2.73828 0.278524
10 32 6 3.00551 0.278558
11 32 6 3.27261 0.278214
12 32 6 3.53495 0.277816
13 32 6 3.79423 0.27749
14 32 6 4.05796 0.277297
15 32 6 4.32326 0.277266
16 32 6 4.58825 0.277255
17 32 6 4.85513 0.27725
18 32 6 5.11976 0.277247
19 32 6 5.3844 0.277246
20 32 6 5.64828 0.277244
21 32 6 5.91219 0.277244
22 32 6 6.17481 0.277243
23 32 6 6.43834 0.277242
24 32 6 6.69994 0.277242
25 32 6 6.96089 0.277242
26 32 6 7.22719 0.277242
27 32 6 7.49045 0.277241
28 32 6 7.7496 0.277241
29 32 6 8.01022 0.277241
0 48 0 0.340991 0.23902
1 48 0 0.615322 0.234782
2 48 0 0.891538 0.231991
3 48 0 1.16455 0.229556
4 48 0 1.45141 0.227409
5 48 0 1.72154 0.225499
6 48 0 1.98927 0.223785
7 48 0 2.2567 0.222234
8 48 0 2.52408 0.22082
9 48 0 2.79082 0.219519
10 48 0 3.06129 0.218314
11 48 0 3.33071 0.217187
12 48 0 3.59816 0.216125
13 48 0 3.8632 0.215114
14 48 0 4.13117 0.214142
15 48 0 4.39793 0.213196
16 48 0 4.66309 0.212266
17 48 0 4.93007 0.21134
18 48 0 5.19667 0.210405
19 48 0 5.46426 0.20945
20 48 0 5.73119 0.20846
21 48 0 5.99843 0.207422
22 48 0 6.26812 0.206323
23 48 0 6.53401 0.205146
24 48 0 6.79913 0.203876
25 48 0 7.06577 0.202501
26 48 0 7.37284 0.201005
27 48 0 7.63734 0.199379
28 48 0 7.90641 0.197614
29 48 0 8.17503 0.195709
0 48 1 0.353787 0.337814
1 48 1 0.638729 0.330777
2 48 1 0.924382 0.328135
3 48 1 1.21129 0.325957
4 48 1 1.4938 0.325605
5 48 1 1.76822 0.325544
6 48 1 2.04907 0.32606
7 48 1 2.32362 0.326569
8 48 1 2.59743 0.326087
9 48 1 2.8738 0.325695
10 48 1 3.14972 0.325313
11 48 1 3.42369 0.32524
12 48 1 3.70464 0.325065
13 48 1 3.9821 0.324966
14 48 1 4.25812 0.324894
15 48 1 4.54314 0.324865
16 48 1 4.81719 0.324866
17 48 1 5.09074 0.324886
18 48 1 5.36287 0.324874
