iter k algo time relerr 
24 32 2 7.93362 0.522723
25 32 2 8.2463 0.522646
26 32 2 8.55917 0.522569
27 32 2 8.87213 0.522512
28 32 2 9.18603 0.52246
29 32 2 9.49883 0.522402
0 32 4 0.393192 0.527104
1 32 4 0.697632 0.524908
2 32 4 1.00587 0.52437
3 32 4 1.31511 0.524138
4 32 4 1.6218 0.524007
5 32 4 1.93092 0.523918
6 32 4 2.23888 0.523852
7 32 4 2.54585 0.523798
8 32 4 2.85256 0.523753
9 32 4 3.16103 0.523713
10 32 4 3.4681 0.523676
11 32 4 3.7763 0.523642
12 32 4 4.08288 0.52361
13 32 4 4.38946 0.52358
14 32 4 4.6981 0.523551
15 32 4 5.00527 0.523521
16 32 4 5.31182 0.523488
17 32 4 5.6184 0.523454
18 32 4 5.92403 0.523421
19 32 4 6.22812 0.523392
20 32 4 6.5355 0.523368
21 32 4 6.84127 0.523347
22 32 4 7.14777 0.523328
23 32 4 7.45353 0.523309
24 32 4 7.75894 0.52329
25 32 4 8.06626 0.523268
26 32 4 8.37204 0.523243
27 32 4 8.67894 0.523208
28 32 4 8.98882 0.523159
29 32 4 9.29513 0.523089
0 32 5 0.409199 0.528492
1 32 5 0.73222 0.527615
2 32 5 1.05618 0.527272
3 32 5 1.38121 0.526993
4 32 5 1.70757 0.526786
5 32 5 2.03429 0.526637
6 32 5 2.35779 0.526523
7 32 5 2.68579 0.526258
8 32 5 3.17325 0.526218
9 32 5 3.50131 0.526068
10 32 5 3.97869 0.526031
11 32 5 4.30628 0.525912
12 32 5 4.7806 0.525889
13 32 5 5.10486 0.525806
14 32 5 5.58288 0.52579
15 32 5 5.90673 0.525727
16 32 5 6.38389 0.525714
17 32 5 6.70923 0.525655
18 32 5 7.18976 0.525638
19 32 5 7.518 0.525573
20 32 5 7.99537 0.525543
21 32 5 8.32276 0.525456
22 32 5 8.80116 0.525433
23 32 5 9.13097 0.525374
24 32 5 9.61376 0.525362
25 32 5 9.94253 0.525317
26 32 5 10.4196 0.525306
27 32 5 10.7472 0.525269
28 32 5 11.2233 0.525261
29 32 5 11.5495 0.525231
0 32 6 0.389737 0.527322
1 32 6 0.694104 0.524934
2 32 6 1.00096 0.523629
3 32 6 1.30883 0.522556
4 32 6 1.61502 0.521491
5 32 6 1.92153 0.521133
6 32 6 2.22653 0.520978
7 32 6 2.53337 0.520603
8 32 6 2.8365 0.52007
9 32 6 3.14031 0.519823
10 32 6 3.4452 0.519646
11 32 6 3.74917 0.51958
12 32 6 4.05402 0.519404
