runs	algo	iter	totaltime	err	relerr
3	BPP	21	332.93	41285	0.83825
3	BPP	22	348.7	41282.5	0.838201
3	BPP	23	364.5	41280.3	0.838156
3	BPP	24	380.29	41278.2	0.838113
3	BPP	25	396.1	41276	0.838068
3	BPP	26	411.9	41273.5	0.838019
3	BPP	27	427.69	41270.3	0.837952
3	BPP	28	443.49	41265.1	0.837846
3	BPP	29	459.27	41257.1	0.837684
4	MU	1	11.75	48208	0.978815
4	MU	2	23.35	47889.6	0.972351
4	MU	3	34.9	47616.9	0.966815
4	MU	4	46.48	47036.5	0.95503
4	MU	5	58.04	46271.9	0.939505
4	MU	6	69.6	45587.2	0.925603
4	MU	7	81.16	44943.4	0.912532
4	MU	8	92.73	44419.8	0.9019
4	MU	9	104.29	43951	0.892381
4	MU	10	115.86	43540.4	0.884045
4	MU	11	127.44	43208.4	0.877304
4	MU	12	139.02	42955.2	0.872162
4	MU	13	150.61	42758.5	0.868169
4	MU	14	162.21	42605.3	0.865059
4	MU	15	173.84	42487.7	0.862671
4	MU	16	185.46	42396.9	0.860827
4	MU	17	197.13	42324	0.859348
4	MU	18	208.82	42260.9	0.858066
4	MU	19	220.53	42200.9	0.856847
4	MU	20	232.28	42144.3	0.855699
4	MU	21	244.07	42091.5	0.854626
4	MU	22	255.92	42039.9	0.853578
4	MU	23	267.86	41988	0.852525
4	MU	24	279.84	41935.9	0.851466
4	MU	25	291.9	41886.2	0.850458
4	MU	26	304.06	41842.2	0.849565
4	MU	27	316.26	41805.3	0.848815
4	MU	28	328.53	41774.3	0.848186
4	MU	29	340.88	41747.4	0.847639
#4	HALS	1	12.36	3.67E+06	74.4527
4	HALS	2	24.55	47742.4	0.969362
4	HALS	3	36.7	47372.7	0.961856
4	HALS	4	49	46493.1	0.943997
4	HALS	5	61.31	44549.6	0.904536
4	HALS	6	73.59	43407.2	0.88134
4	HALS	7	85.83	42795.9	0.868927
4	HALS	8	98.07	42404.5	0.860981
4	HALS	9	110.3	42068.1	0.854152
4	HALS	10	122.53	41771.4	0.848127
4	HALS	11	134.74	41591.6	0.844475
4	HALS	12	146.96	41530.8	0.843241
4	HALS	13	159.43	41507.7	0.842772
4	HALS	14	172.15	41493.3	0.84248
4	HALS	15	184.39	41480.7	0.842225
4	HALS	16	196.61	41468.4	0.841975
4	HALS	17	208.84	41456	0.841722
4	HALS	18	221.06	41443.2	0.841462
4	HALS	19	233.27	41429.2	0.84118
4	HALS	20	245.47	41412.2	0.840833
4	HALS	21	257.68	41390.9	0.840402
4	HALS	22	269.9	41370	0.839977
4	HALS	23	282.11	41354.2	0.839657
4	HALS	24	294.33	41343.3	0.839434
4	HALS	25	306.54	41335.1	0.839269
4	HALS	26	318.75	41328.6	0.839135
4	HALS	27	330.96	41323	0.839022
4	HALS	28	343.19	41317.7	0.838916
4	HALS	29	355.41	41312.1	0.838802
4	BPP	1	15.81	45308.1	0.919936
4	BPP	2	31.63	43714	0.88757
4	BPP	3	47.45	42990.6	0.872882
4	BPP	4	63.25	42345.8	0.85979
4	BPP	5	79.05	41861.2	0.84995
4	BPP	6	94.89	41577.5	0.84419
4	BPP	7	110.71	41459.7	0.841798
