alg-p allgather allreduce comm comp d err_communication err_compute gram krp mttkrp multittv nnls reducescatter total_time
1-64 0.179596 0.23474299999999998 0.798004 8.59084 0.0 0.00735896 0.00735896 0.055361099999999996 0.0 7.8051699999999995 0.183805 0.5227470000000001 0.381511 9.388844
2-1024 0.111654 0.353932 1.18452 2.04586 0.0 0.010737100000000001 0.010737100000000001 0.0641726 0.0 1.8494599999999999 0.036933 0.0687832 0.713675 3.23038
2-128 0.182555 0.267755 0.916582 4.83242 0.0 0.00820259 0.00820259 0.05527130000000001 0.0 4.53768 0.11155 0.105304 0.463175 5.749002
2-16 0.14338199999999998 0.329873 0.743877 28.6241 0.0 0.00596306 0.00596306 0.0521029 0.0 27.5087 0.593237 0.43805200000000005 0.269543 29.367977
2-256 0.185525 0.291398 0.9030809999999999 3.32904 0.0 0.00835468 0.00835468 0.0594056 0.0 3.0918200000000002 0.0688248 0.0853796 0.42282299999999995 4.232121
2-32 0.114059 0.281552 0.819261 14.7269 0.0 0.00744972 0.00744972 0.0523193 0.0 14.0829 0.326173 0.23818899999999998 0.42189399999999994 15.546161000000001
2-512 0.175782 0.363227 1.1148200000000001 2.50762 0.0 0.012136599999999999 0.012136599999999999 0.0766643 0.0 2.25477 0.05881 0.0802619 0.568175 3.62244
2-64 0.171061 0.23983600000000002 0.9899040000000001 8.01708 0.0 0.00739193 0.00739193 0.05579209999999999 0.0 7.59722 0.18507200000000001 0.15171300000000001 0.576678 9.006984
4-1024 0.126094 0.38003400000000004 1.14026 3.5917800000000004 0.0 0.011872 0.011872 0.06783739999999999 0.0 1.8686200000000002 0.037037 1.58675 0.626269 4.7320400000000005
4-128 0.164118 0.25308800000000004 0.8712340000000001 5.6002 0.0 0.00831524 0.00831524 0.0548941 0.0 4.5606 0.11048399999999998 0.8513850000000001 0.451071 6.471434
4-16 0.142251 0.314921 0.720054 29.2164 0.0 0.00601852 0.00601852 0.051075999999999996 0.0 27.5244 0.592316 1.01627 0.26186 29.936454
4-256 0.152555 0.268583 0.823686 3.91618 0.0 0.00878165 0.00878165 0.05459830000000001 0.0 3.0853099999999998 0.0683312 0.6871649999999999 0.400005 4.739866
4-32 0.0873091 0.27362 0.716484 15.2857 0.0 0.00680505 0.00680505 0.0505227 0.0 14.152000000000001 0.32292 0.73507 0.354232 16.002184
4-512 0.184111 0.369141 1.18477 4.30209 0.0 0.011062899999999999 0.011062899999999999 0.0801217 0.0 2.28185 0.058904700000000004 1.84243 0.623509 5.48686
4-64 0.146135 0.20380399999999999 0.6942159999999999 8.89592 0.0 0.00770303 0.00770303 0.05350119999999999 0.0 7.8434800000000005 0.183928 0.791531 0.342102 9.590136000000001
5-1024 0.346467 0.686851 1.99501 19.6104 0.0 0.0119149 0.0119149 0.11770499999999999 0.0 2.95859 0.0483017 16.4281 0.9551649999999999 21.60541
5-128 0.396023 0.505035 1.52987 23.9254 0.0 0.00787543 0.00787543 0.0913707 0.0 6.68479 0.152694 16.9506 0.625663 25.45527
5-16 0.39074899999999996 0.5884020000000001 1.35629 116.444 0.0 0.00718871 0.00718871 0.09003489999999999 0.0 38.3394 0.824783 77.1138 0.376161 117.80029
5-256 0.46988 0.553439 1.7027599999999998 20.795 0.0 0.00986746 0.00986746 0.102354 0.0 4.6100699999999994 0.09076870000000001 15.9397 0.674606 22.497760000000003
5-32 0.553535 0.5849979999999999 1.7119900000000001 62.6108 0.0 0.00646723 0.00646723 0.0859409 0.0 19.8743 0.450822 42.1416 0.571671 64.32279
5-512 0.521143 0.6734640000000001 1.91005 23.9788 0.0 0.012190600000000001 0.012190600000000001 0.121718 0.0 3.54849 0.0794557 20.1588 0.7071770000000001 25.888849999999998
