iter k algo time relerr
25 32 5 51.3731 0.127295
26 32 5 53.5688 0.127295
27 32 5 55.7586 0.127295
28 32 5 57.9649 0.127295
29 32 5 60.1559 0.127295
0 32 6 1.51727 0.146094
1 32 6 2.97749 0.133883
2 32 6 4.43341 0.125835
3 32 6 5.89428 0.120361
4 32 6 7.35493 0.115354
5 32 6 8.81611 0.111687
6 32 6 10.2755 0.108501
7 32 6 11.7359 0.106456
8 32 6 13.1922 0.105257
9 32 6 14.6479 0.104444
10 32 6 16.1084 0.103296
11 32 6 17.5713 0.10173
12 32 6 19.029 0.0999048
13 32 6 20.4847 0.0973115
14 32 6 21.9487 0.0958672
15 32 6 23.4068 0.0955547
16 32 6 24.869 0.0955127
17 32 6 26.3275 0.0955118
18 32 6 27.7878 0.0955126
19 32 6 29.2463 0.0955042
20 32 6 30.7015 0.0954743
21 32 6 32.1595 0.0953999
22 32 6 33.613 0.0952683
23 32 6 35.0653 0.0950959
24 32 6 36.5182 0.0948302
25 32 6 37.971 0.0941988
26 32 6 39.4276 0.0936669
27 32 6 40.8863 0.0935804
28 32 6 42.3402 0.0935737
29 32 6 43.7929 0.0935734
0 48 0 1.49096 0.179327
1 48 0 2.95735 0.175833
2 48 0 4.41247 0.172734
3 48 0 5.86868 0.169963
4 48 0 7.3255 0.16747
5 48 0 8.77791 0.165214
6 48 0 10.2255 0.163163
7 48 0 11.6839 0.161288
8 48 0 13.1375 0.159567
9 48 0 14.5858 0.157982
10 48 0 16.036 0.156516
11 48 0 17.4886 0.155157
12 48 0 18.9343 0.153891
13 48 0 20.3773 0.15271
14 48 0 21.8222 0.151604
15 48 0 23.2711 0.150567
16 48 0 24.7139 0.149591
17 48 0 26.165 0.14867
18 48 0 27.617 0.147801
19 48 0 29.0615 0.146977
20 48 0 30.513 0.146195
21 48 0 31.9567 0.145451
22 48 0 33.4046 0.144743
23 48 0 34.8516 0.144067
24 48 0 36.3018 0.14342
25 48 0 37.7512 0.142801
26 48 0 39.1974 0.142206
27 48 0 40.647 0.141635
28 48 0 42.0954 0.141085
29 48 0 43.5382 0.140555
0 48 1 1.50559 0.212907
1 48 1 2.96605 0.164371
2 48 1 4.42341 0.133408
3 48 1 5.88568 0.118917
4 48 1 7.34312 0.110603
5 48 1 8.79984 0.104757
6 48 1 10.2566 0.100456
7 48 1 11.7154 0.097293
8 48 1 13.1757 0.0948565
9 48 1 14.6256 0.0928374
10 48 1 16.0838 0.0910213
11 48 1 17.5379 0.0893794
12 48 1 18.9897 0.0879185
13 48 1 20.4456 0.0866148
14 48 1 21.8983 0.0854362
15 48 1 23.351 0.0843611
16 48 1 24.8069 0.0833601
17 48 1 26.2612 0.0824047
18 48 1 27.7189 0.0814733
19 48 1 29.1752 0.0805801
20 48 1 30.6313 0.0797335
21 48 1 32.0822 0.078928
22 48 1 33.5321 0.0781498
23 48 1 34.983 0.0773837
24 48 1 36.4355 0.0766179
25 48 1 37.887 0.0758449
26 48 1 39.3384 0.075058
27 48 1 40.7896 0.074253
28 48 1 42.2458 0.0734294
29 48 1 43.7033 0.0725874
0 48 2 1.49441 0.278665
1 48 2 2.95053 0.0981457
2 48 2 4.40298 0.0754934
3 48 2 5.86001 0.0702809
4 48 2 7.30763 0.0680072
5 48 2 8.7617 0.065886
6 48 2 10.2092 0.0633146
7 48 2 11.6651 0.0600342
8 48 2 13.1116 0.0559367
9 48 2 14.5636 0.051328
10 48 2 16.0156 0.0467379
11 48 2 17.4624 0.0423438
12 48 2 18.9051 0.0380404
13 48 2 20.3494 0.0337071
14 48 2 21.799 0.0292913
15 48 2 23.2426 0.0250976
16 48 2 24.691 0.0218101
17 48 2 26.1361 0.0194816
18 48 2 27.5817 0.0174277
19 48 2 29.0242 0.0151575
20 48 2 30.4682 0.0127498
21 48 2 31.9141 0.0101917
22 48 2 33.3575 0.00750115
23 48 2 34.8041 0.00522222
24 48 2 36.2774 0.00372414
25 48 2 37.7216 0.00288571
26 48 2 39.1686 0.00243447
27 48 2 40.6094 0.00216808
28 48 2 42.0562 0.00198302
29 48 2 43.4974 0.00183528
0 48 4 1.50567 0.118519
