iter	k	algo	totaltime	relerr	gpu
10	16	4	0.422187	0.939894	0
11	16	4	0.476662	0.939894	0
12	16	4	0.519021	0.939894	0
13	16	4	0.56436	0.939894	0
14	16	4	0.604162	0.939894	0
15	16	4	0.65395	0.939894	0
16	16	4	0.704329	0.939894	0
17	16	4	0.74991	0.939894	0
18	16	4	0.791165	0.939894	0
19	16	4	0.831458	0.939894	0
20	16	4	0.87049	0.939894	0
21	16	4	0.907545	0.939894	0
22	16	4	0.945042	0.939894	0
23	16	4	0.98253	0.939894	0
24	16	4	1.02109	0.939894	0
25	16	4	1.05908	0.939894	0
26	16	4	1.0968	0.939894	0
27	16	4	1.13467	0.939894	0
28	16	4	1.17174	0.939894	0
29	16	4	1.20897	0.939894	0
0	16	5	0.254489	0.939893	1
1	16	5	0.447536	0.939892	1
2	16	5	0.625824	0.939892	1
3	16	5	0.804236	0.939891	1
4	16	5	0.997543	0.93989	1
5	16	5	1.18633	0.93989	1
6	16	5	1.37643	0.93989	1
7	16	5	1.56978	0.93989	1
8	16	5	1.77109	0.93989	1
9	16	5	1.95642	0.939891	1
10	16	5	2.16522	0.93989	1
11	16	5	2.35791	0.93989	1
12	16	5	2.66757	0.93989	1
13	16	5	2.86081	0.93989	1
14	16	5	3.05093	0.93989	1
15	16	5	3.24017	0.93989	1
16	16	5	3.42855	0.93989	1
17	16	5	3.61858	0.93989	1
18	16	5	3.80789	0.93989	1
19	16	5	3.9971	0.93989	1
20	16	5	4.20539	0.93989	1
21	16	5	4.39659	0.93989	1
22	16	5	4.92433	0.93989	1
23	16	5	5.15864	0.93989	1
24	16	5	5.35495	0.93989	1
25	16	5	5.55828	0.93989	1
26	16	5	5.75179	0.93989	1
27	16	5	5.95235	0.93989	1
28	16	5	6.14972	0.93989	1
29	16	5	6.34001	0.93989	1
0	16	5	0.170384	0.939893	0
1	16	5	0.297056	0.939892	0
2	16	5	0.405616	0.939892	0
3	16	5	0.516769	0.939891	0
4	16	5	0.639296	0.93989	0
5	16	5	0.763365	0.93989	0
6	16	5	0.897084	0.93989	0
7	16	5	1.03007	0.93989	0
8	16	5	1.16274	0.93989	0
9	16	5	1.27609	0.939891	0
10	16	5	1.39531	0.93989	0
11	16	5	1.51333	0.93989	0
12	16	5	1.63163	0.93989	0
13	16	5	1.7755	0.93989	0
14	16	5	1.94788	0.93989	0
15	16	5	2.10774	0.93989	0
16	16	5	2.27571	0.93989	0
17	16	5	2.39176	0.93989	0
18	16	5	2.50875	0.93989	0
19	16	5	2.62604	0.93989	0
20	16	5	2.74371	0.93989	0
21	16	5	2.86311	0.93989	0
22	16	5	2.98742	0.93989	0
23	16	5	3.10502	0.93989	0
24	16	5	3.22308	0.93989	0
25	16	5	3.34198	0.93989	0
26	16	5	3.46138	0.93989	0
27	16	5	3.5978	0.93989	0
28	16	5	3.71646	0.93989	0
29	16	5	3.83589	0.93989	0
0	32	0	0.116583	0.941301	1
1	32	0	0.223109	0.941141	1
2	32	0	0.325653	0.941011	1
3	32	0	0.435004	0.940904	1
4	32	0	0.543602	0.940814	1
5	32	0	0.65481	0.940737	1
6	32	0	0.806645	0.940671	1
7	32	0	0.935589	0.940614	1
8	32	0	1.05431	0.940563	1
9	32	0	1.16591	0.940519	1
10	32	0	1.27223	0.940479	1
11	32	0	1.37711	0.940444	1
12	32	0	1.48198	0.940412	1
13	32	0	1.61919	0.940383	1
14	32	0	1.75846	0.940357	1
15	32	0	1.86757	0.940333	1
16	32	0	1.9704	0.940311	1
17	32	0	2.07474	0.940291	1
18	32	0	2.17456	0.940273	1
19	32	0	2.27679	0.940256	1
20	32	0	2.38164	0.94024	1
21	32	0	2.48578	0.940225	1
22	32	0	2.58623	0.940212	1
23	32	0	2.68837	0.940199	1
24	32	0	2.79271	0.940187	1
25	32	0	2.89683	0.940176	1
26	32	0	2.99897	0.940165	1
27	32	0	3.10905	0.940155	1
28	32	0	3.2309	0.940146	1
29	32	0	3.3469	0.940137	1
0	32	0	0.0555701	0.941301	0
1	32	0	0.105441	0.941141	0
2	32	0	0.155544	0.941011	0
3	32	0	0.20563	0.940904	0
4	32	0	0.256068	0.940814	0
5	32	0	0.307812	0.940737	0
6	32	0	0.358226	0.940671	0
7	32	0	0.408511	0.940614	0
8	32	0	0.459105	0.940563	0
9	32	0	0.509836	0.940519	0
10	32	0	0.559358	0.940479	0
11	32	0	0.609362	0.940444	0
12	32	0	0.658701	0.940412	0
13	32	0	0.709081	0.940383	0
14	32	0	0.758557	0.940357	0
15	32	0	0.808168	0.940333	0
16	32	0	0.858462	0.940311	0
17	32	0	0.907732	0.940291	0
18	32	0	0.956734	0.940273	0
19	32	0	1.00624	0.940256	0
20	32	0	1.05567	0.94024	0
21	32	0	1.10552	0.940225	0
22	32	0	1.15496	0.940212	0
23	32	0	1.20464	0.940199	0
24	32	0	1.25427	0.940187	0
25	32	0	1.30375	0.940176	0
26	32	0	1.35348	0.940165	0
27	32	0	1.40355	0.940155	0
28	32	0	1.45398	0.940146	0
29	32	0	1.50309	0.940137	0
0	32	1	0.124071	0.939894	1
1	32	1	0.235666	0.939892	1
2	32	1	0.346098	0.93989	1
3	32	1	0.458466	0.93989	1
4	32	1	0.569642	0.939889	1
5	32	1	0.676382	0.939889	1
6	32	1	0.787527	0.939889	1
7	32	1	0.898448	0.939889	1
8	32	1	1.00893	0.939889	1
9	32	1	1.12124	0.939889	1
10	32	1	1.23186	0.939888	1
11	32	1	1.34368	0.939888	1
12	32	1	1.45494	0.939888	1
13	32	1	1.56298	0.939888	1
14	32	1	1.67316	0.939888	1
15	32	1	1.78452	0.939888	1
16	32	1	1.89546	0.939888	1
17	32	1	2.00372	0.939888	1
18	32	1	2.11239	0.939888	1
19	32	1	2.22155	0.939888	1
20	32	1	2.32944	0.939888	1
21	32	1	2.43749	0.939888	1
22	32	1	2.54566	0.939888	1
23	32	1	2.65619	0.939888	1
24	32	1	2.76474	0.939888	1
25	32	1	2.87165	0.939888	1
26	32	1	3.18242	0.939888	1
27	32	1	3.38659	0.939888	1
28	32	1	3.51001	0.939888	1
29	32	1	3.63	0.939888	1
0	32	1	0.187166	0.939894	0
1	32	1	0.252386	0.939892	0
2	32	1	0.317763	0.93989	0
3	32	1	0.372635	0.93989	0
4	32	1	0.427692	0.939889	0
5	32	1	0.48179	0.939889	0
6	32	1	0.535798	0.939889	0
7	32	1	0.591083	0.939889	0
8	32	1	0.6458	0.939889	0
9	32	1	0.701664	0.939889	0
10	32	1	0.757976	0.939888	0
11	32	1	0.813292	0.939888	0
12	32	1	0.867637	0.939888	0
13	32	1	0.934219	0.939888	0
14	32	1	1.02401	0.939888	0
15	32	1	1.12261	0.939888	0
16	32	1	1.18392	0.939888	0
17	32	1	1.23952	0.939888	0
18	32	1	1.29448	0.939888	0
19	32	1	1.34957	0.939888	0
20	32	1	1.40608	0.939888	0
21	32	1	1.46163	0.939888	0
22	32	1	1.51698	0.939888	0
23	32	1	1.57321	0.939888	0
24	32	1	1.62849	0.939888	0
25	32	1	1.68565	0.939888	0
26	32	1	1.74169	0.939888	0
27	32	1	1.7972	0.939888	0
28	32	1	1.85261	0.939888	0
29	32	1	1.90632	0.939888	0
0	32	2	0.122437	0.939939	1
1	32	2	0.2301	0.9399	1
2	32	2	0.335061	0.939894	1
3	32	2	0.440263	0.939891	1
4	32	2	0.547407	0.93989	1
5	32	2	0.652854	0.93989	1
6	32	2	0.759989	0.93989	1
7	32	2	0.864858	0.939891	1
8	32	2	0.96944	0.939893	1
9	32	2	1.07214	0.939896	1
10	32	2	1.17939	0.939901	1
11	32	2	1.28922	0.939907	1
12	32	2	1.39795	0.939912	1
13	32	2	1.50358	0.939915	1
14	32	2	1.60872	0.939921	1
15	32	2	1.71109	0.939923	1
16	32	2	1.81593	0.939923	1
17	32	2	1.9184	0.939925	1
18	32	2	2.02019	0.939928	1
19	32	2	2.12526	0.939928	1
20	32	2	2.24491	0.939928	1
21	32	2	2.34763	0.939928	1
22	32	2	2.45241	0.939927	1
23	32	2	2.55632	0.939926	1
24	32	2	2.6611	0.939928	1
25	32	2	2.76359	0.939931	1
26	32	2	2.86881	0.939932	1
27	32	2	2.98322	0.939933	1
28	32	2	3.09908	0.939934	1
29	32	2	3.20447	0.939935	1
0	32	2	0.0560341	0.939939	0
1	32	2	0.106424	0.9399	0
2	32	2	0.156148	0.939894	0
3	32	2	0.206371	0.939891	0
4	32	2	0.256539	0.93989	0
5	32	2	0.306587	0.93989	0
6	32	2	0.356453	0.93989	0
7	32	2	0.406665	0.939891	0
8	32	2	0.45652	0.939893	0
9	32	2	0.507816	0.939896	0
10	32	2	0.55832	0.939901	0
11	32	2	0.607741	0.939907	0
12	32	2	0.657167	0.939912	0
13	32	2	0.707992	0.939915	0
14	32	2	0.758392	0.939921	0
15	32	2	0.808748	0.939923	0
16	32	2	0.858835	0.939923	0
17	32	2	0.908874	0.939925	0
18	32	2	0.959636	0.939928	0
19	32	2	1.00951	0.939928	0
20	32	2	1.06003	0.939928	0
21	32	2	1.11056	0.939928	0
22	32	2	1.15943	0.939927	0
23	32	2	1.20906	0.939926	0
24	32	2	1.25944	0.939928	0
25	32	2	1.31485	0.939931	0
26	32	2	1.36492	0.939932	0
27	32	2	1.41526	0.939933	0
28	32	2	1.46717	0.939934	0
29	32	2	1.52403	0.939935	0
0	32	4	0.141645	0.939895	1
1	32	4	0.359223	0.939894	1
2	32	4	0.4939	0.939894	1
3	32	4	0.708067	0.939894	1
4	32	4	0.861823	0.939894	1
5	32	4	1.03181	0.939894	1
6	32	4	1.1721	0.939894	1
7	32	4	1.29203	0.939894	1
8	32	4	1.40632	0.939894	1
9	32	4	1.51934	0.939894	1
10	32	4	1.6303	0.939894	1
11	32	4	1.74491	0.939894	1
12	32	4	1.85736	0.939894	1
13	32	4	1.97044	0.939894	1
14	32	4	2.08531	0.939894	1
15	32	4	2.19883	0.939894	1
16	32	4	2.31715	0.939894	1
17	32	4	2.44185	0.939894	1
18	32	4	2.56363	0.939894	1
19	32	4	2.67789	0.939894	1
20	32	4	2.79261	0.939894	1
21	32	4	2.90682	0.939894	1
22	32	4	3.09642	0.939894	1
23	32	4	3.2859	0.939894	1
24	32	4	3.50727	0.939894	1
25	32	4	3.65496	0.939894	1
26	32	4	3.8758	0.939894	1
27	32	4	4.22137	0.939894	1
28	32	4	4.40778	0.939894	1
29	32	4	4.52658	0.939894	1
0	32	4	0.0653323	0.939895	0
1	32	4	0.124065	0.939894	0
2	32	4	0.182058	0.939894	0
3	32	4	0.239866	0.939894	0
4	32	4	0.299678	0.939894	0
5	32	4	0.357335	0.939894	0
6	32	4	0.439934	0.939894	0
7	32	4	0.499375	0.939894	0
8	32	4	0.558651	0.939894	0
9	32	4	0.617488	0.939894	0
10	32	4	0.676065	0.939894	0
11	32	4	0.734281	0.939894	0
12	32	4	0.793205	0.939894	0
13	32	4	0.852318	0.939894	0
14	32	4	0.914627	0.939894	0
15	32	4	0.977501	0.939894	0
16	32	4	1.0366	0.939894	0
17	32	4	1.09855	0.939894	0
18	32	4	1.16498	0.939894	0
19	32	4	1.25411	0.939894	0
20	32	4	1.31823	0.939894	0
21	32	4	1.38588	0.939894	0
22	32	4	1.44815	0.939894	0
23	32	4	1.50741	0.939894	0
24	32	4	1.56614	0.939894	0
25	32	4	1.62563	0.939894	0
26	32	4	1.68407	0.939894	0
27	32	4	1.74268	0.939894	0
28	32	4	1.80572	0.939894	0
29	32	4	1.91249	0.939894	0
0	32	5	0.314142	0.939892	1
1	32	5	0.538166	0.939889	1
2	32	5	0.749788	0.939889	1
3	32	5	0.94995	0.939889	1
4	32	5	1.14985	0.939888	1
5	32	5	1.34656	0.939888	1
6	32	5	1.53924	0.939888	1
7	32	5	1.74708	0.939887	1
8	32	5	2.09321	0.939887	1
9	32	5	2.29977	0.939887	1
10	32	5	2.49407	0.939887	1
11	32	5	2.69343	0.939887	1
12	32	5	2.88976	0.939887	1
13	32	5	3.08046	0.939888	1
14	32	5	3.27028	0.939888	1
15	32	5	3.45901	0.939888	1
16	32	5	3.64703	0.939888	1
17	32	5	3.83517	0.939888	1
18	32	5	4.03099	0.939888	1
19	32	5	4.22125	0.939888	1
20	32	5	4.47244	0.939888	1
21	32	5	4.66795	0.939888	1
22	32	5	4.86956	0.939887	1
23	32	5	5.29067	0.939887	1
24	32	5	5.55025	0.939887	1
25	32	5	5.80506	0.939886	1
26	32	5	6.13796	0.939886	1
27	32	5	6.3496	0.939888	1
28	32	5	6.53938	0.939888	1
29	32	5	6.73553	0.939888	1
0	32	5	0.212287	0.939892	0
1	32	5	0.378396	0.939889	0
2	32	5	0.522991	0.939889	0
3	32	5	0.666577	0.939889	0
4	32	5	0.81026	0.939888	0
5	32	5	0.945162	0.939888	0
6	32	5	1.08131	0.939888	0
7	32	5	1.24285	0.939887	0
8	32	5	1.39049	0.939887	0
9	32	5	1.54222	0.939887	0
10	32	5	1.68827	0.939887	0
11	32	5	1.83201	0.939887	0
12	32	5	1.97356	0.939887	0
13	32	5	2.10999	0.939888	0
14	32	5	2.24615	0.939888	0
15	32	5	2.38117	0.939888	0
16	32	5	2.51645	0.939888	0
17	32	5	2.64957	0.939888	0
18	32	5	2.78235	0.939888	0
19	32	5	2.91751	0.939888	0
20	32	5	3.0538	0.939888	0
21	32	5	3.18649	0.939888	0
22	32	5	3.33367	0.939887	0
23	32	5	3.47804	0.939887	0
24	32	5	3.62891	0.939887	0
25	32	5	3.77978	0.939886	0
26	32	5	4.56584	0.939886	0
27	32	5	4.7112	0.939888	0
28	32	5	4.84578	0.939888	0
29	32	5	4.98193	0.939888	0
0	64	0	0.142857	0.940647	1
1	64	0	0.265861	0.940596	1
2	64	0	0.381333	0.940551	1
3	64	0	0.499637	0.94051	1
4	64	0	0.62682	0.940475	1
5	64	0	0.756104	0.940442	1
6	64	0	0.874601	0.940413	1
7	64	0	0.99369	0.940387	1
8	64	0	1.10867	0.940363	1
9	64	0	1.22258	0.940341	1
10	64	0	1.33864	0.94032	1
11	64	0	1.45516	0.940302	1
12	64	0	1.57212	0.940285	1
13	64	0	1.68799	0.940269	1
14	64	0	1.80446	0.940254	1
15	64	0	1.92042	0.94024	1
16	64	0	2.03556	0.940227	1
17	64	0	2.14948	0.940215	1
18	64	0	2.26646	0.940203	1
19	64	0	2.38284	0.940193	1
20	64	0	2.50128	0.940183	1
21	64	0	2.61947	0.940173	1
22	64	0	2.7385	0.940164	1
23	64	0	2.85406	0.940156	1
24	64	0	2.97048	0.940148	1
25	64	0	3.09064	0.94014	1
26	64	0	3.2107	0.940133	1
27	64	0	3.33137	0.940126	1
28	64	0	3.44977	0.940119	1
29	64	0	3.56817	0.940113	1
0	64	0	0.0991811	0.940647	0
1	64	0	0.186685	0.940596	0
2	64	0	0.275257	0.940551	0
3	64	0	0.363767	0.94051	0
4	64	0	0.453411	0.940475	0
5	64	0	0.54118	0.940442	0
6	64	0	0.628674	0.940413	0
7	64	0	0.716743	0.940387	0
8	64	0	0.804125	0.940363	0
9	64	0	0.891858	0.940341	0
10	64	0	0.980686	0.94032	0
11	64	0	1.06898	0.940302	0
12	64	0	1.16286	0.940285	0
13	64	0	1.25344	0.940269	0
14	64	0	1.36756	0.940254	0
15	64	0	1.45748	0.94024	0
16	64	0	1.54436	0.940227	0
17	64	0	1.63175	0.940215	0
18	64	0	1.72115	0.940203	0
19	64	0	1.80907	0.940193	0
20	64	0	1.89795	0.940183	0
21	64	0	1.98658	0.940173	0
22	64	0	2.07579	0.940164	0
23	64	0	2.16495	0.940156	0
24	64	0	2.25251	0.940148	0
25	64	0	2.34239	0.94014	0
26	64	0	2.43258	0.940133	0
27	64	0	2.51991	0.940126	0
28	64	0	2.60785	0.940119	0
29	64	0	2.76229	0.940113	0
0	64	1	0.167047	0.939894	1
1	64	1	0.296809	0.93989	1
2	64	1	0.425982	0.939887	1
3	64	1	0.556988	0.939886	1
4	64	1	0.689413	0.939885	1
5	64	1	0.821184	0.939885	1
6	64	1	1.04756	0.939885	1
7	64	1	1.19916	0.939884	1
8	64	1	1.34801	0.939884	1
9	64	1	1.48917	0.939884	1
10	64	1	1.61567	0.939884	1
11	64	1	1.74335	0.939884	1
12	64	1	1.86905	0.939884	1
13	64	1	2.00013	0.939883	1
14	64	1	2.13498	0.939883	1
15	64	1	2.26902	0.939883	1
16	64	1	2.46525	0.939883	1
17	64	1	2.74169	0.939883	1
18	64	1	2.87022	0.939883	1
19	64	1	3.00424	0.939883	1
20	64	1	3.13795	0.939883	1
21	64	1	3.27393	0.939883	1
22	64	1	3.40853	0.939883	1
23	64	1	3.54141	0.939883	1
24	64	1	3.67315	0.939883	1
25	64	1	3.80131	0.939883	1
26	64	1	3.93199	0.939883	1
27	64	1	4.06397	0.939883	1
28	64	1	4.1988	0.939883	1
29	64	1	4.32807	0.939883	1
0	64	1	0.118731	0.939894	0
1	64	1	0.222797	0.93989	0
2	64	1	0.324853	0.939887	0
3	64	1	0.423235	0.939886	0
4	64	1	0.523268	0.939885	0
5	64	1	0.624085	0.939885	0
6	64	1	0.72352	0.939885	0
7	64	1	0.824024	0.939884	0
8	64	1	0.922797	0.939884	0
9	64	1	1.02286	0.939884	0
10	64	1	1.12208	0.939884	0
11	64	1	1.22059	0.939884	0
12	64	1	1.32036	0.939884	0
13	64	1	1.42035	0.939883	0
14	64	1	1.52103	0.939883	0
15	64	1	1.62237	0.939883	0
16	64	1	1.78233	0.939883	0
17	64	1	2.00174	0.939883	0
18	64	1	2.12656	0.939883	0
19	64	1	2.22735	0.939883	0
20	64	1	2.32847	0.939883	0
21	64	1	2.42847	0.939883	0
22	64	1	2.52797	0.939883	0
23	64	1	2.62802	0.939883	0
24	64	1	2.73557	0.939883	0
25	64	1	2.85866	0.939883	0
26	64	1	2.95705	0.939883	0
27	64	1	3.06204	0.939883	0
28	64	1	3.16089	0.939883	0
29	64	1	3.26383	0.939883	0
0	64	2	0.147707	0.939938	1
1	64	2	0.283893	0.939896	1
2	64	2	0.406982	0.939892	1
3	64	2	0.528472	0.939891	1
4	64	2	0.647263	0.939891	1
5	64	2	0.766418	0.939893	1
6	64	2	0.88385	0.939895	1
7	64	2	1.00724	0.939899	1
8	64	2	1.11988	0.939904	1
9	64	2	1.24019	0.939906	1
10	64	2	1.36275	0.939906	1
11	64	2	1.47738	0.939906	1
12	64	2	1.59899	0.939905	1
13	64	2	1.71575	0.939903	1
14	64	2	1.83155	0.939902	1
15	64	2	1.94885	0.939901	1
16	64	2	2.06871	0.9399	1
17	64	2	2.19106	0.939898	1
18	64	2	2.30843	0.939898	1
19	64	2	2.42987	0.939898	1
20	64	2	2.5569	0.939899	1
21	64	2	2.68268	0.9399	1
22	64	2	2.8013	0.939902	1
23	64	2	2.92111	0.939904	1
24	64	2	3.04245	0.939906	1
25	64	2	3.16152	0.939906	1
26	64	2	3.28023	0.939905	1
27	64	2	3.39928	0.939904	1
28	64	2	3.51803	0.939903	1
29	64	2	3.65486	0.939902	1
0	64	2	0.0983511	0.939938	0
1	64	2	0.186989	0.939896	0
2	64	2	0.276743	0.939892	0
3	64	2	0.364526	0.939891	0
4	64	2	0.453769	0.939891	0
5	64	2	0.543249	0.939893	0
6	64	2	0.631474	0.939895	0
7	64	2	0.719221	0.939899	0
8	64	2	0.831231	0.939904	0
9	64	2	0.954826	0.939906	0
10	64	2	1.05174	0.939906	0
11	64	2	1.14148	0.939906	0
12	64	2	1.23173	0.939905	0
13	64	2	1.37557	0.939903	0
14	64	2	1.53647	0.939902	0
15	64	2	1.62748	0.939901	0
16	64	2	1.71495	0.9399	0
17	64	2	1.80301	0.939898	0
18	64	2	1.89153	0.939898	0
19	64	2	1.98006	0.939898	0
20	64	2	2.06833	0.939899	0
21	64	2	2.15694	0.9399	0
22	64	2	2.24643	0.939902	0
