iter	k	algo	totaltime	relerr	gpu
22	16	5	2.46201	0.922519	1
23	16	5	2.56752	0.922581	1
24	16	5	2.67587	0.922577	1
25	16	5	2.79653	0.922649	1
26	16	5	2.90163	0.922785	1
27	16	5	3.00694	0.922851	1
28	16	5	3.11271	0.924132	1
29	16	5	3.2182	0.922854	1
0	16	5	0.0392071	0.923289	0
1	16	5	0.0735126	0.922294	0
2	16	5	0.110837	0.922023	0
3	16	5	0.147757	0.922168	0
4	16	5	0.18344	0.922317	0
5	16	5	0.219115	0.922178	0
6	16	5	0.255229	0.922077	0
7	16	5	0.290363	0.922082	0
8	16	5	0.326016	0.922174	0
9	16	5	0.362735	0.92216	0
10	16	5	0.398547	0.922056	0
11	16	5	0.434133	0.922262	0
12	16	5	0.470557	0.922324	0
13	16	5	0.504957	0.922519	0
14	16	5	0.542339	0.92248	0
15	16	5	0.579742	0.922486	0
16	16	5	0.614647	0.922495	0
17	16	5	0.651916	0.922546	0
18	16	5	0.687345	0.922546	0
19	16	5	0.72185	0.922558	0
20	16	5	0.758169	0.922631	0
21	16	5	0.793735	0.922606	0
22	16	5	0.828125	0.922519	0
23	16	5	0.862658	0.922581	0
24	16	5	0.901135	0.922577	0
25	16	5	0.937275	0.922649	0
26	16	5	0.974776	0.922785	0
27	16	5	1.00979	0.922851	0
28	16	5	1.04329	0.924132	0
29	16	5	1.07785	0.922854	0
0	32	0	0.116574	0.923496	1
1	32	0	0.220841	0.923265	1
2	32	0	0.332286	0.923078	1
3	32	0	0.437797	0.922921	1
4	32	0	0.543261	0.922787	1
5	32	0	0.647496	0.922672	1
6	32	0	0.752982	0.922572	1
7	32	0	0.856828	0.922483	1
8	32	0	0.96067	0.922404	1
9	32	0	1.06471	0.922333	1
10	32	0	1.17147	0.922268	1
11	32	0	1.27544	0.922209	1
12	32	0	1.37757	0.922155	1
13	32	0	1.47953	0.922104	1
14	32	0	1.58125	0.922057	1
15	32	0	1.68529	0.922013	1
16	32	0	1.79191	0.921972	1
17	32	0	1.89613	0.921933	1
18	32	0	2.00027	0.921896	1
19	32	0	2.10429	0.92186	1
20	32	0	2.20913	0.921826	1
21	32	0	2.31418	0.921793	1
22	32	0	2.41631	0.921762	1
23	32	0	2.51823	0.921731	1
24	32	0	2.62038	0.921702	1
25	32	0	2.72562	0.921673	1
26	32	0	2.8292	0.921645	1
27	32	0	2.93322	0.921618	1
28	32	0	3.03508	0.921591	1
29	32	0	3.13713	0.921565	1
0	32	0	0.0540061	0.923496	0
1	32	0	0.102664	0.923265	0
2	32	0	0.151708	0.923078	0
3	32	0	0.202043	0.922921	0
4	32	0	0.253242	0.922787	0
5	32	0	0.302318	0.922672	0
6	32	0	0.351809	0.922572	0
7	32	0	0.402067	0.922483	0
8	32	0	0.455568	0.922404	0
9	32	0	0.510939	0.922333	0
10	32	0	0.570745	0.922268	0
11	32	0	0.619996	0.922209	0
12	32	0	0.668699	0.922155	0
13	32	0	0.717925	0.922104	0
14	32	0	0.76837	0.922057	0
15	32	0	0.817844	0.922013	0
16	32	0	0.866999	0.921972	0
17	32	0	0.91502	0.921933	0
18	32	0	0.963296	0.921896	0
19	32	0	1.01296	0.92186	0
20	32	0	1.06622	0.921826	0
21	32	0	1.11604	0.921793	0
22	32	0	1.16413	0.921762	0
